Case,Name,Edge,Dist.,Arch. Type,Mean Edge,Dist. to Center,Worst Dist.
1,Apoptosis network,"(' IAP ', ' Cas9 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IAP ', ' APC ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IAP ', ' Cas6 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IAP ', ' Cas3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' IAP ', ' Cas7 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas8 ', ' BID ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas8 ', ' Cas3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas8 ', ' Cas7 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' MEKK1 ', ' JNKK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Cas9 ', ' APC ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRADD ', ' FADD ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRADD ', ' RIP ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRADD ', ' TRAF ')",2,1-hop,0,0,0
1,Apoptosis network,"(' PIP2 ', ' PIP3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' FADD ', ' Cas8 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' BAD ', ' BclX ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TRAF2 ', ' NIK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' PIP3 ', ' AKT ')",2,1-hop,0,0,0
1,Apoptosis network,"(' JNKK ', ' JNK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' Apaf1 ', ' APC ')",2,1-hop,0,0,0
1,Apoptosis network,"(' A20 ', ' IKK ')",2,1-hop,0,0,0
1,Apoptosis network,"(' TNFR1 ', ' TRADD ')",2,1-hop,0,0,0
1,Apoptosis network,"(' BID ', ' Mito ')",2,1-hop,0,0,0
1,Apoptosis network,"(' cFLIP ', ' Cas8 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' PI3K ', ' PIP3 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' AKT ', ' Cas9 ')",2,1-hop,0,0,0
1,Apoptosis network,"(' AKT ', ' BAD ')",2,1-hop,0,0,0
1,Apoptosis network,"(' AKT ', ' JNKK ')",2,1-hop,0,0,0
